GeneID,AverageFPKM
Glyma.01G080500.Wm82.a4.v1,2.43215
Glyma.01G079100.Wm82.a4.v1,9.57912
Glyma.01G080200.Wm82.a4.v1,7.34197
Glyma.01G080700.Wm82.a4.v1,3.58835
Glyma.01G081300.Wm82.a4.v1,1.41952
Glyma.01G081500.Wm82.a4.v1,8.40302
Glyma.01G081900.Wm82.a4.v1,2.78322
Glyma.01G082000.Wm82.a4.v1,1.11433
Glyma.01G081600.Wm82.a4.v1,17.488
Glyma.01G082200.Wm82.a4.v1,8.32367
Glyma.01G082500.Wm82.a4.v1,2.82998
Glyma.01G082700.Wm82.a4.v1,1.3737
Glyma.01G083000.Wm82.a4.v1,6.82475
Glyma.01G082400.Wm82.a4.v1,9.09533
Glyma.01G084800.Wm82.a4.v1,1.00005
Glyma.01G084700.Wm82.a4.v1,6.97018
Glyma.01G087000.Wm82.a4.v1,2.45043
Glyma.01G086201.Wm82.a4.v1,1.01555
Glyma.01G087500.Wm82.a4.v1,6.03653
Glyma.01G087700.Wm82.a4.v1,1.25867
Glyma.01G088200.Wm82.a4.v1,1.62067
Glyma.01G089000.Wm82.a4.v1,3.11195
Glyma.01G087900.Wm82.a4.v1,7.64455
Glyma.01G089100.Wm82.a4.v1,4.89288
Glyma.01G089600.Wm82.a4.v1,1.24578
Glyma.01G089500.Wm82.a4.v1,1.27012
Glyma.01G091300.Wm82.a4.v1,25.6223
Glyma.01G089900.Wm82.a4.v1,5.44053
Glyma.01G092300.Wm82.a4.v1,5.64443
Glyma.01G093000.Wm82.a4.v1,1.4094
Glyma.01G093800.Wm82.a4.v1,3.87827
Glyma.01G089300.Wm82.a4.v1,25.7335
Glyma.01G096200.Wm82.a4.v1,9.19805
Glyma.01G095966.Wm82.a4.v1,3.43452
Glyma.01G096000.Wm82.a4.v1,8.49108
Glyma.01G094200.Wm82.a4.v1,2.17325
Glyma.01G095100.Wm82.a4.v1,1.05872
Glyma.01G095232.Wm82.a4.v1,12.6478
Glyma.01G096600.Wm82.a4.v1,1.54279
Glyma.01G097700.Wm82.a4.v1,1.16884
Glyma.01G096300.Wm82.a4.v1,6.19078
Glyma.01G097900.Wm82.a4.v1,1.16766
Glyma.01G097200.Wm82.a4.v1,2.58712
Glyma.01G097100.Wm82.a4.v1,13.0657
Glyma.01G098700.Wm82.a4.v1,8.45005
Glyma.01G099600.Wm82.a4.v1,1.01472
Glyma.01G099700.Wm82.a4.v1,1.00761
Glyma.01G100600.Wm82.a4.v1,2.0495
Glyma.01G100900.Wm82.a4.v1,1.55744
Glyma.01G098000.Wm82.a4.v1,11.6888
Glyma.01G102300.Wm82.a4.v1,4.78165
Glyma.01G102400.Wm82.a4.v1,2.03381
Glyma.01G103200.Wm82.a4.v1,2.65465
Glyma.01G103500.Wm82.a4.v1,1.83657
Glyma.01G102600.Wm82.a4.v1,10.3458
Glyma.01G104800.Wm82.a4.v1,5.9831
Glyma.01G105200.Wm82.a4.v1,7.92065
Glyma.01G105000.Wm82.a4.v1,7.466
Glyma.01G106100.Wm82.a4.v1,1.56694
Glyma.01G106000.Wm82.a4.v1,6.55598
Glyma.01G106200.Wm82.a4.v1,2.93355
Glyma.01G105500.Wm82.a4.v1,6.5422
Glyma.01G106700.Wm82.a4.v1,3.5324
Glyma.01G107100.Wm82.a4.v1,1.12921
Glyma.01G108000.Wm82.a4.v1,1.4222
Glyma.01G108700.Wm82.a4.v1,6.78177
Glyma.01G109200.Wm82.a4.v1,1.67088
Glyma.01G109100.Wm82.a4.v1,5.19608
Glyma.01G109500.Wm82.a4.v1,6.29905
Glyma.01G109600.Wm82.a4.v1,2.36806
Glyma.01G109300.Wm82.a4.v1,10.0598
Glyma.01G110900.Wm82.a4.v1,2.22925
Glyma.01G111200.Wm82.a4.v1,2.19092
Glyma.01G111300.Wm82.a4.v1,2.29842
Glyma.01G112900.Wm82.a4.v1,1.58908
Glyma.01G112600.Wm82.a4.v1,11.6716
Glyma.01G113000.Wm82.a4.v1,7.95198
Glyma.01G114400.Wm82.a4.v1,1.0373
Glyma.01G114000.Wm82.a4.v1,1.22617
Glyma.01G114800.Wm82.a4.v1,8.24045
Glyma.01G113200.Wm82.a4.v1,19.1489
Glyma.01G115000.Wm82.a4.v1,3.4681
Glyma.01G115500.Wm82.a4.v1,6.99118
Glyma.01G116300.Wm82.a4.v1,3.94937
Glyma.01G116100.Wm82.a4.v1,5.21455
Glyma.01G118200.Wm82.a4.v1,1.00357
Glyma.01G116000.Wm82.a4.v1,34.7428
Glyma.01G119400.Wm82.a4.v1,2.58513
Glyma.01G119900.Wm82.a4.v1,3.59503
Glyma.01G118350.Wm82.a4.v1,4.13555
Glyma.01G118800.Wm82.a4.v1,3.31323
Glyma.01G121209.Wm82.a4.v1,9.9395
Glyma.01G118900.Wm82.a4.v1,2.58355
Glyma.01G121218.Wm82.a4.v1,4.7382
Glyma.01G121300.Wm82.a4.v1,1.36366
Glyma.01G120400.Wm82.a4.v1,8.83732
Glyma.01G121400.Wm82.a4.v1,1.61178
Glyma.01G121700.Wm82.a4.v1,11.327
Glyma.01G122100.Wm82.a4.v1,2.74403
Glyma.01G123500.Wm82.a4.v1,1.11891
Glyma.01G123300.Wm82.a4.v1,3.61298
Glyma.01G124300.Wm82.a4.v1,2.74872
Glyma.01G124602.Wm82.a4.v1,5.54153
Glyma.01G124700.Wm82.a4.v1,3.2453
Glyma.01G124500.Wm82.a4.v1,6.8961
Glyma.01G125900.Wm82.a4.v1,5.37688
Glyma.01G115900.Wm82.a4.v1,308.053
Glyma.01G126200.Wm82.a4.v1,1.78965
Glyma.01G124900.Wm82.a4.v1,9.60218
Glyma.01G126000.Wm82.a4.v1,6.2033
Glyma.01G127100.Wm82.a4.v1,6.02407
Glyma.01G127400.Wm82.a4.v1,3.7002
Glyma.01G128500.Wm82.a4.v1,2.66085
Glyma.01G128100.Wm82.a4.v1,1.98293
Glyma.01G127200.Wm82.a4.v1,54.0378
