GeneID,AverageFPKM
Glyma.01G084700.Wm82.a4.v1,5.4606
Glyma.01G082400.Wm82.a4.v1,12.2117
Glyma.01G084800.Wm82.a4.v1,1.4393
Glyma.01G087000.Wm82.a4.v1,3.05325
Glyma.01G086201.Wm82.a4.v1,1.02068
Glyma.01G087700.Wm82.a4.v1,1.07852
Glyma.01G087500.Wm82.a4.v1,7.00807
Glyma.01G088200.Wm82.a4.v1,2.28141
Glyma.01G089000.Wm82.a4.v1,3.56292
Glyma.01G087900.Wm82.a4.v1,5.96395
Glyma.01G089100.Wm82.a4.v1,4.85797
Glyma.01G089500.Wm82.a4.v1,1.28337
Glyma.01G091300.Wm82.a4.v1,10.945
Glyma.01G091400.Wm82.a4.v1,1.99509
Glyma.01G089900.Wm82.a4.v1,5.83167
Glyma.01G092300.Wm82.a4.v1,10.4716
Glyma.01G093000.Wm82.a4.v1,1.63846
Glyma.01G093400.Wm82.a4.v1,1.09821
Glyma.01G093800.Wm82.a4.v1,5.8146
Glyma.01G089300.Wm82.a4.v1,21.8937
Glyma.01G096200.Wm82.a4.v1,7.24848
Glyma.01G095966.Wm82.a4.v1,1.32202
Glyma.01G096000.Wm82.a4.v1,9.16645
Glyma.01G095100.Wm82.a4.v1,1.45793
Glyma.01G094200.Wm82.a4.v1,2.6329
Glyma.01G095232.Wm82.a4.v1,12.1281
Glyma.01G096600.Wm82.a4.v1,1.79743
Glyma.01G097500.Wm82.a4.v1,1.03226
Glyma.01G097700.Wm82.a4.v1,1.19326
Glyma.01G097200.Wm82.a4.v1,2.54177
Glyma.01G096300.Wm82.a4.v1,8.49992
Glyma.01G097900.Wm82.a4.v1,1.31876
Glyma.01G097100.Wm82.a4.v1,10.5671
Glyma.01G099500.Wm82.a4.v1,1.00407
Glyma.01G098700.Wm82.a4.v1,9.90433
Glyma.01G099600.Wm82.a4.v1,1.40979
Glyma.01G099700.Wm82.a4.v1,1.26499
Glyma.01G100600.Wm82.a4.v1,1.87794
Glyma.01G100900.Wm82.a4.v1,2.01959
Glyma.01G102300.Wm82.a4.v1,5.01345
Glyma.01G102400.Wm82.a4.v1,2.63915
Glyma.01G098000.Wm82.a4.v1,10.562
Glyma.01G103200.Wm82.a4.v1,3.67592
Glyma.01G103500.Wm82.a4.v1,1.61719
Glyma.01G102600.Wm82.a4.v1,11.7425
Glyma.01G104800.Wm82.a4.v1,8.23968
Glyma.01G105200.Wm82.a4.v1,10.4898
Glyma.01G105000.Wm82.a4.v1,9.97787
Glyma.01G106100.Wm82.a4.v1,1.70816
Glyma.01G105500.Wm82.a4.v1,7.30907
Glyma.01G106200.Wm82.a4.v1,2.98073
Glyma.01G106000.Wm82.a4.v1,12.6408
Glyma.01G106700.Wm82.a4.v1,3.21398
Glyma.01G106600.Wm82.a4.v1,1.05117
Glyma.01G107100.Wm82.a4.v1,1.01309
Glyma.01G108000.Wm82.a4.v1,1.68397
Glyma.01G108700.Wm82.a4.v1,8.55707
Glyma.01G109200.Wm82.a4.v1,2.22981
Glyma.01G109100.Wm82.a4.v1,4.53085
Glyma.01G109500.Wm82.a4.v1,5.80377
Glyma.01G109600.Wm82.a4.v1,2.58588
Glyma.01G109800.Wm82.a4.v1,1.26138
Glyma.01G110600.Wm82.a4.v1,1.02134
Glyma.01G109300.Wm82.a4.v1,14.0909
Glyma.01G110900.Wm82.a4.v1,2.54802
Glyma.01G111200.Wm82.a4.v1,2.48159
Glyma.01G111300.Wm82.a4.v1,2.61068
Glyma.01G112900.Wm82.a4.v1,2.04918
Glyma.01G112600.Wm82.a4.v1,16.1466
Glyma.01G113000.Wm82.a4.v1,8.53083
Glyma.01G114000.Wm82.a4.v1,1.5526
Glyma.01G114400.Wm82.a4.v1,1.63863
Glyma.01G114800.Wm82.a4.v1,7.1845
Glyma.01G115000.Wm82.a4.v1,3.00358
Glyma.01G113200.Wm82.a4.v1,24.4695
Glyma.01G115500.Wm82.a4.v1,12.5487
Glyma.01G116100.Wm82.a4.v1,5.03878
Glyma.01G116300.Wm82.a4.v1,6.24795
Glyma.01G118200.Wm82.a4.v1,1.61528
Glyma.01G116000.Wm82.a4.v1,34.2668
Glyma.01G115900.Wm82.a4.v1,177.72
Glyma.01G118350.Wm82.a4.v1,6.585
Glyma.01G119400.Wm82.a4.v1,3.11033
Glyma.01G118800.Wm82.a4.v1,4.49885
Glyma.01G119900.Wm82.a4.v1,4.2024
Glyma.01G121209.Wm82.a4.v1,16.8208
Glyma.01G121300.Wm82.a4.v1,1.82177
Glyma.01G121218.Wm82.a4.v1,5.99423
Glyma.01G118900.Wm82.a4.v1,3.51867
Glyma.01G120400.Wm82.a4.v1,10.0243
Glyma.01G121700.Wm82.a4.v1,5.90738
Glyma.01G121400.Wm82.a4.v1,1.76005
Glyma.01G122100.Wm82.a4.v1,2.99775
Glyma.01G123500.Wm82.a4.v1,1.05638
Glyma.01G123300.Wm82.a4.v1,3.85498
Glyma.01G124300.Wm82.a4.v1,3.79985
