"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AverageFPKM"
"Glyma.01G022100.Wm82.a4.v1",1429.21887923903,-0.113513886116905,0.965848113179923,-0.117527678076811,0.906441912092811,0.999992088905012,10.543
"Glyma.01G022600.Wm82.a4.v1",1091.39727585624,0.434284861589477,1.15395506330489,0.37634469088051,0.706660658750995,0.999992088905012,2.86238
"Glyma.01G023300.Wm82.a4.v1",2841.02162063632,-0.464789779185325,1.06381742876907,-0.436907467969508,0.662178455767607,0.999992088905012,16.0194
"Glyma.01G023600.Wm82.a4.v1",474.363041558967,-0.164437803785237,1.10889432779862,-0.148289877279541,0.882114003799013,0.999992088905012,1.02868
"Glyma.01G024300.Wm82.a4.v1",246.990939048337,-0.406174289352642,1.33384929365019,-0.304512879593101,0.760737181877155,0.999992088905012,2.32127
"Glyma.01G024700.Wm82.a4.v1",182.089916988527,-0.190046383797932,1.11634054415764,-0.170240510203216,0.864820994148249,0.999992088905012,1.18449
"Glyma.01G025100.Wm82.a4.v1",5269.52782290892,0.230362397628884,1.07081064855874,0.215128975359873,0.8296667636787,0.999992088905012,52.6773
"Glyma.01G025500.Wm82.a4.v1",184.12510309355,-0.464089790552399,1.03722327674395,-0.447434801125238,0.654561153233441,0.999992088905012,1.51298
"Glyma.01G026100.Wm82.a4.v1",1080.70730124677,0.0155021395114962,1.03619895713882,0.0149605820433376,0.988063627833168,0.999992088905012,20.429
"Glyma.01G027300.Wm82.a4.v1",666.249593275062,-0.482654560320131,0.984214029014313,-0.490395936342736,0.62385375166651,0.999992088905012,4.20728
"Glyma.01G028900.Wm82.a4.v1",1663.49189947309,-0.440083273549881,0.964829068162942,-0.456125637246616,0.648299635466459,0.999992088905012,10.3321
"Glyma.01G029000.Wm82.a4.v1",426.714203442297,-0.182029386958558,0.999896329967856,-0.182048259907514,0.855544852713773,0.999992088905012,3.73033
"Glyma.01G029200.Wm82.a4.v1",3027.59900990526,-0.100630511220481,0.997562877736732,-0.100876359241426,0.919648609953498,0.999992088905012,50.429
"Glyma.01G029500.Wm82.a4.v1",363.612067603454,0.208537725193532,1.01033977503099,0.206403558829639,0.836475691140784,0.999992088905012,1.69683
"Glyma.01G029600.Wm82.a4.v1",1222.54673139631,0.316382129039982,1.02305718303742,0.30925165698036,0.757130101794195,0.999992088905012,7.29223
"Glyma.01G029700.Wm82.a4.v1",22.7919230296835,-0.201452631488432,1.43237246703472,-0.140642630408469,0.888152268739734,0.999992088905012,3.3308
"Glyma.01G030400.Wm82.a4.v1",521.796889571489,0.134433857613574,1.01122753994609,0.132941254369656,0.894239840179242,0.999992088905012,2.5635
"Glyma.01G030600.Wm82.a4.v1",841.344452647976,0.302942431349995,1.08788266701432,0.278469765660867,0.780651771020462,0.999992088905012,6.54103
"Glyma.01G030800.Wm82.a4.v1",731.036996657024,0.139000693082395,1.00074467496261,0.138897259770669,0.889531336365215,0.999992088905012,6.90435
