GeneID,AverageFPKM
Os01g0356400,17.1259
Os01g0357900,2.1176
Os01g0357800,2.9848
Os01g0358300,11.6877
Os01g0358400,4.6693
Os01g0359400,3.64898
Os01g0360600,3.76598
Os01g0360200,4.7219
Os01g0357100,39.472
Os01g0361000,10.0481
Os01g0361500,22.2213
Os01g0363300,2.47357
Os01g0363900,1.07846
Os01g0363500,2.46868
Os01g0364000,1.19139
Os01g0364800,1.33325
Os01g0362100,19.2774
Os01g0367100,2.45261
Os01g0367400,1.1592
Os01g0367300,5.1856
Os01g0367700,3.86883
Os01g0368900,9.94243
Os01g0367900,4.12855
Os01g0369600,1.62532
Os01g0369700,2.8426
Os01g0369900,2.57354
Os01g0371200,3.25298
Os01g0372100,2.03772
Os01g0369000,7.8134
Os01g0372700,6.64332
Os01g0374900,2.7614
Os01g0375000,1.6849
Os01g0375100,1.25693
Os01g0375200,1.37865
Os01g0376700,5.3774
Os01g0377500,3.7202
Os01g0377700,3.33272
Os01g0382000,2.71037
Os01g0379400,1.38454
Os01g0382450,1.23264
Os01g0382700,6.80403
Os01g0384800,1.18318
Os01g0383700,9.96842
Os01g0388500,4.14915
Os01g0386700,25.0122
Os01g0390300,6.48067
Os01g0390400,7.60177
Os01g0391500,1.14509
Os01g0390900,11.943
Os01g0392100,2.70661
Os01g0392800,1.23478
Os01g0393000,4.8263
Os01g0496900,1.30034
Os01g0495900,5.62555
Os01g0499300,2.37645
Os01g0500500,2.14666
Os01g0500900,2.19901
Os01g0501000,2.06144
Os01g0498200,80.521
Os01g0501700,17.3318
Os01g0502400,3.86678
Os01g0502800,5.59783
Os01g0502900,1.54989
Os01g0504500,2.3294
Os01g0503400,4.70188
Os01g0506200,1.37626
Os01g0507000,3.16562
Os01g0507300,2.14109
Os01g0507500,4.0524
Os01g0505400,17.3102
Os01g0507900,2.0572
Os01g0508300,1.2213
Os01g0508500,5.2089
Os01g0508000,2.97695
Os01g0507700,48.5057
Os01g0510100,6.47885
Os01g0510500,3.1529
Os01g0510701,1.32489
Os01g0510600,7.2441
Os01g0511000,1.42963
Os01g0511100,1.65022
Os01g0511200,1.29538
Os01g0511300,2.8104
Os01g0510800,6.29665
Os01g0511700,1.73413
Os01g0513100,2.46493
Os01g0512100,5.41563
Os01g0513200,1.06163
Os01g0513700,2.95933
Os01g0513400,5.22088
Os01g0513800,1.63291
Os01g0514000,3.02683
Os01g0514300,1.65557
Os01g0511600,23.723
Os01g0516600,4.85208
Os01g0519700,1.7404
Os01g0519400,2.12356
Os01g0518500,2.14792
Os01g0521400,9.84768
Os01g0521500,3.50018
Os01g0524700,1.26188
Os01g0525700,2.17572
Os01g0524500,6.78017
Os01g0526100,1.8842
Os01g0526200,2.31106
Os01g0527400,2.25671
Os01g0527700,2.21152
Os01g0530366,5.70715
Os01g0528800,10.5091
Os01g0531000,2.00631
Os01g0530400,1.57468
Os01g0531200,1.46086
Os01g0531500,9.91398
Os01g0532300,3.9231
Os01g0532200,3.83027
Os01g0533500,1.08763
Os01g0534800,3.90112
Os01g0535900,1.54632
Os01g0534900,2.34747
Os01g0536000,9.67747
Os01g0538000,5.95902
Os01g0540800,1.11586
Os01g0539400,21.4657
Os01g0541600,1.66137
Os01g0541000,5.81447
Os01g0541800,7.9603
Os01g0542700,1.19331
Os01g0541900,3.448
Os01g0544700,2.43498
Os01g0544200,2.80505
Os01g0546400,1.79803
Os01g0547200,1.46218
Os01g0547600,1.26373
Os01g0549200,3.1723
Os01g0549500,1.18645
Os01g0549400,6.21758
Os01g0549700,7.2112
Os01g0550000,6.6035
Os01g0550200,1.05836
Os01g0550250,1.14946
Os01g0550100,5.1919
Os01g0551000,4.46253
Os01g0551100,1.81419
Os01g0552100,1.78619
Os01g0551900,2.14184
Os01g0550300,40.4898
Os01g0552500,1.47656
Os01g0553400,1.01727
Os01g0553200,1.68804
Os01g0553600,1.58319
Os01g0555100,6.39848
Os01g0555200,1.99163
Os01g0555300,4.73423
Os01g0552300,40.9543
Os01g0556400,5.287
Os01g0556201,2.18222
Os01g0557100,2.56491
Os01g0558200,2.5494
Os01g0556650,24.6727
Os01g0556700,28.8765
Os01g0557500,6.46295
Os01g0558300,5.56888
Os01g0558500,3.21632
Os01g0558800,3.19775
Os01g0558850,1.13017
Os01g0558900,8.54697
Os01g0558600,29.222
Os01g0559000,3.7386
Os01g0559200,1.1466
Os01g0559300,1.89983
