"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AverageFPKM"
"65","Os04g0497000",18033.4519966929,6.24385968900672,1.35387911794943,4.61182952467987,3.99140284620196e-06,0.000962031758735872,3.84315
"66","Os04g0514600",913.984024421971,6.45881207703987,1.54505021027447,4.18032503674588,2.91092711783773e-05,0.00450199136499587,1.05436
"67","Os04g0517100",2234.74615389105,7.01356336291038,1.1403445847957,6.15038950193014,7.72928924650085e-10,1.0246277080415e-06,1.22467
"68","Os04g0556400",2477.96112276644,9.26504356998777,1.86563841443653,4.96615179999176,6.82945046433043e-07,0.00022236451082019,1.02534
"69","Os04g0583900",405.979713835485,4.3104841329971,0.995840956292162,4.32848649752911,1.50137535596924e-05,0.00267923319533011,1.06512
"70","Os04g0585700",1050.32145978806,3.21415604881718,0.919627430137487,3.49506326527978,0.000473949398724302,0.0354678503666303,2.45376
"71","Os04g0600300",398.114528277472,11.8776874251428,2.98998002142335,3.97249725417516,7.11230563308911e-05,0.00910326070651729,1
"72","Os04g0610400",801.162108828266,5.03748961993996,1.14164606216723,4.41247930236547,1.02193566760821e-05,0.00191704922817787,1.29787
"73","Os04g0618700",147.330353746462,22.2013597374506,5.64933009715597,3.92991015848541,8.49776066538732e-05,0.0101748348508983,1
"74","Os04g0627900",555.297120150167,9.91470426194829,2.73904692006826,3.61976430170141,0.000294871486882614,0.0249886754568696,1.01128
"75","Os04g0671100",2219.49888793989,3.7234859409672,1.03953682859714,3.58187015460728,0.000341143348087103,0.0276833301572753,2.92536
"76","Os04g0684900",1344.56202837566,6.32734270579985,0.927540949462783,6.82163165891979,9.00122202569508e-12,1.82155683915714e-08,1.23156
"77","Os04g0685300",2277.10202105725,4.91306974835074,0.878341045543731,5.59357868253708,2.22436350371003e-08,1.64770176995484e-05,2.14294
"78","Os05g0293500",80.9479375794247,9.58105829936427,2.42721244426271,3.94735051808562,7.90208245919349e-05,0.00964833870790606,1.25
"79","Os05g0313700",25.0331682063071,19.7386473225396,3.88613490135804,5.0792491314807,3.78929533473609e-07,0.000135241407918014,1.25
"80","Os05g0343400",17506.2521183679,5.80047890343499,1.30836763100045,4.43337084012054,9.27710931226743e-06,0.00181235654448812,3.49119
"81","Os05g0380900",825.06672423956,5.11525241452913,1.07201800894489,4.77161052505425,1.82758646661606e-06,0.00049156778599895,1.68933
"82","Os05g0389800",608.643028820425,24.1747795715729,5.6490690974521,4.27942713295477,1.87374968749498e-05,0.00319035967433204,1.25
"83","Os05g0427800",336.182899461896,7.60434688521228,1.42091681884632,5.35171854140374,8.71228357874287e-08,4.04228177344722e-05,1.34725
"84","Os05g0444200",544.763591357599,3.92600688988835,1.07248582081033,3.66066088120587,0.000251565536535636,0.022021400849014,1.53306
"85","Os05g0447700",4143.82896503784,6.76622521372727,1.4968300157911,4.52036980976173,6.17316993079287e-06,0.00134785718524218,1.53362
"86","Os05g0467700",587.232431962658,24.1238664963909,5.64907213726282,4.27041218632406,1.95112033647423e-05,0.00329189475678412,1.25
"87","Os05g0474800",928.578313826797,7.06861986789655,1.56477020671186,4.51735330694354,6.26173786091334e-06,0.00135129759256617,1.29801
"88","Os05g0476700",719.993506358077,4.15465389416704,1.00677259371861,4.12670539512944,3.67997332324145e-05,0.00542036705603476,1.50649
"89","Os05g0489500",59.716661891914,6.69220714641326,1.9762524960244,3.38631179966927,0.000708388468609721,0.0479816846311234,1.25
"90","Os05g0495700",580.317388728893,5.00972031690748,1.40026524045529,3.57769383411858,0.000346639144667909,0.027961844923157,1.38031
"91","Os05g0497300",1807.13433059224,4.02640307279086,1.03138531819714,3.90387860070473,9.46632778878146e-05,0.0109121476665836,2.94353
"92","Os05g0537100",865.964146148106,4.3035656852184,1.122289742293,3.83462979571174,0.000125753553430411,0.0135689546402034,1.79738
"93","Os05g0545400",950.0912919024,7.51752170681736,1.39994436587713,5.36987175351593,7.87926542356022e-08,3.84819176304879e-05,1.31279
"94","Os05g0546400",233.910878328846,8.66649886768293,2.55356677503344,3.39387986733553,0.000689099143117915,0.0470183492541374,1.26131
"95","Os05g0577900",42.8693005533009,20.3483485814551,3.77264004086633,5.3936628888619,6.90356843639215e-08,3.55898129475005e-05,1.25
"96","Os06g0127100",162.543652454131,10.585934401418,2.36621458905819,4.47378460532248,7.68471552791658e-06,0.00158543462147874,1.5
"97","Os06g0133400",2771.54913378314,6.47454223365197,0.938997787289807,6.89516239685632,5.38033036004812e-12,1.24816938940166e-08,2.91262
"98","Os06g0133500",126.295394753716,5.76900642337468,1.61296689881739,3.57664278641084,0.0003480352485182,0.027961844923157,1.65978
"99","Os06g0323100",21.5911075779399,18.1354968312641,3.93157527703334,4.61278127808064,3.973163336532e-06,0.000962031758735872,1.5
"100","Os06g0530600",153.465309030145,10.5023589968854,2.7865244299605,3.76898148961652,0.00016391504159808,0.016267910465341,1.5
"101","Os06g0652250",167.525971091224,6.18032126353897,1.50291541850756,4.11222161103132,3.91869864431871e-05,0.00568180688593054,1.50001
"102","Os06g0666400",1845.51089318885,4.91797336807203,1.3408322262003,3.6678514074865,0.00024459725587727,0.0219298573518177,2.5253
"103","Os06g0683400",2585.61322952466,6.54453089208478,0.961132016208646,6.80919039394903,9.81495144758411e-12,1.82155683915714e-08,2.29706
"104","Os06g0685200",31.2914602578839,20.049327732406,3.82992331543155,5.23491623229716,1.65059705288229e-07,6.38196473009217e-05,1.5
"105","Os07g0137000",56.0981035840941,9.04919875895087,2.63104138174385,3.43939811123498,0.000583009194314756,0.0419382466561533,1.75
"106","Os07g0225300",2998.70267799883,6.64318781638748,0.848497839893587,7.82935147745411,4.90392923673596e-15,1.82024045409165e-11,2.15226
"107","Os07g0242000",66.6508103492926,21.095663517618,5.6497469748191,3.7339129719687,0.000188527661784436,0.0177608369292251,1.75
"108","Os07g0418500",5726.18180430404,11.6964825777834,2.4683265895654,4.73862844051069,2.15169627549826e-06,0.00057047615967103,1.76494
